,user_loc,Mean_friendship,Median_friendship,Std_friendship,Total_friendship,Mean_SCI_with_Self,Median_SCI_with_Self,Std_SCI_with_Self,SCI,Mean_SCI_without_Self,Median_SCI_without_Self,Std_SCI_without_Self,Mean_dist_to_SCI_km,Median_dist_to_SCI_km,Std_dist_to_SCI_km,Total_dist_to_SCI_km,Ratio_selfloop_to_country,Ratio_selfloop_to_africa,Ratio_selfloop_to_all_sci,Average_distance_of_friendships_km,Ratio_SCI_low_hi_africa,Ratio_SCI_middle_hi_africa,Ratio_SCI_high_hi_africa
10,AGO2,19608.63857142857,372.0,246385.5081565621,13726047,1755.8939792214294,16.0,73094.93994476776,14027837,966.2130696044067,16.0,19000.19690623469,3230.3489511905877,2817.5736613550994,1420.2232096281264,2261244.2658334114,0.4856270493809411,0.459690033117328,0.44980042183267455,465.53449442579756,0.9806144739206765,0.006663678798092678,0.003707841772042261
11,AGO3,34441.3,492.0,621934.469771142,24108910,3044.63662535987,13.0,184234.6640999174,24323602,996.958688032048,13.0,21088.159769413065,3122.426619899598,2608.463809568096,1496.1397540706282,2185698.6339297183,0.7054661425198143,0.6785829803172354,0.672593475259133,344.0045172049916,0.9922633991462284,0.0038393984575146394,0.0017751893819015787
12,AGO4,18521.035714285714,437.0,299985.2133591403,12964725,1656.4441106521467,16.0,88894.41776824961,13233332,670.3316224336505,16.0,11558.032480732103,2858.699798071571,2635.245767378026,1221.6621085933484,2001089.8586500997,0.6595305557797132,0.6077045984392264,0.5953695562085195,466.1209992925054,0.9819314591366709,0.006688716039165344,0.0049039803429703115
13,AGO5,67442.69714285714,542.0,1410594.8661185682,47209888,5937.7799474277135,14.0,417709.75238483277,47436924,1273.0264146219329,14.0,25327.308346359026,3346.1719188882475,2882.7627088761474,1671.507839980628,2342320.343221773,0.8209856986134793,0.7894106632915545,0.7856324959012941,386.70831851724887,0.9957439061605259,0.0021115197098361604,0.000988723467820131
14,AGO6,60928.04285714286,385.5,1348095.1319934074,42649630,5364.825384904243,12.0,399157.89830379025,42859590,903.8733099649475,12.0,18580.223479148288,2975.62874737172,2605.251659139925,1341.656744961549,2082940.123160204,0.8504055762269127,0.8356332751304056,0.8315396857506103,205.31295328166067,0.995599047961028,0.0020649754232366663,0.0009719178368248506
15,AGO7,39921.83285714286,421.0,797400.6585769563,27945283,3529.271247965953,14.0,236152.4468373379,28195348,894.542438657987,14.0,17607.087288130046,3078.105381529349,2652.9584521636684,1392.4432911887861,2154673.7670705444,0.7740071261003537,0.7532485178267831,0.7465679444708396,323.82131697596714,0.9922209507752839,0.0032502879553038323,0.0016359790983959482
16,AGO8,72704.25857142857,430.5,1492729.3130125583,50892981,6399.8743271999,14.0,442049.03853437287,51128596,1467.3619178768151,14.0,32213.032988191677,3434.672810188976,2993.5141878119484,1561.1580626107843,2404270.9671322834,0.823687160772808,0.7743171695916181,0.7707488975445366,306.7794046522648,0.9959445590878341,0.001747221848219732,0.0008760459606596668
17,AGO9,20781.27142857143,422.0,224406.62259590076,14546890,1850.6154712730004,14.0,66642.18810367007,14784567,1201.506885327992,14.0,32790.470410760136,3166.443900621279,2685.877210521159,1457.62918558406,2216510.7304348955,0.3810268544181567,0.3565662488683148,0.3508340825943702,471.9275816896602,0.9857621802518802,0.005814509143216707,0.0030631265697534465
18,BDI1,107405.54428571429,817.0,1725878.9964952522,75183881,9444.836274877956,11.0,511442.0567326448,75454797,3799.504256384577,11.0,83463.93352190182,2752.9844089954363,2524.4765256595742,1710.7488533561807,1927089.0862968056,0.616922879669915,0.599920573400567,0.5977665939516079,78.10836082626402,0.9967184458795907,0.0007484348543141664,0.0019688078943476584
19,BDI10,120702.67571428571,561.0,2126156.597173001,84491873,10597.65490048817,1.0,629873.108644266,84664665,3616.0325488232347,1.0,85631.8821450192,2758.4516874192163,2569.3369818236224,1730.9379935941529,1930916.1811934514,0.6785477798457462,0.6601794352458017,0.6588320759315589,70.92590627755675,0.9980053189840177,0.00042924636860017105,0.0011226997709138753
20,BDI11,60999.85142857143,699.0,802245.8563710533,42699896,5374.166103392165,10.0,237941.37217440383,42934213,2802.495743615423,9.5,61493.17715544697,2795.6022866784783,2509.6686384399527,1747.9041208271112,1956921.6006749347,0.5063987068370642,0.48121609008134353,0.4785898136761002,122.20050224062932,0.994807125031033,0.0009538080970530426,0.003436909394379722
21,BDI12,141003.15142857144,491.5,2536651.6976141497,98702206,12378.97947177369,1.0,751436.606242333,98895667,4034.07185778668,1.0,91236.85061753426,2763.112822648772,2534.1944581194325,1725.468348407918,1934178.9758541402,0.6856130210602066,0.6754813666474688,0.6741599811445733,50.93051179279274,0.9982349075010536,0.0003208128420833645,0.000960153289627947
22,BDI13,87913.19,917.5,1219153.4749452712,61539233,7738.017899611967,9.0,361498.4013018959,61819025,3814.2328492739107,9.0,87651.0121691219,2769.6942139553644,2590.128771892506,1744.0909358443635,1938785.949768755,0.5282134590108108,0.5094462747041387,0.5071405283405878,90.21487414451292,0.9955919718889128,0.0009472326682602969,0.002811060187377591
23,BDI14,125361.06428571428,320.0,2144246.9688124377,87752745,11005.574039304043,1.0,635288.8198482714,87923531,3970.9994992488732,1.0,90858.92385580025,2771.0206360207562,2521.813798079572,1732.7980700057506,1939714.4452145293,0.6506614982530092,0.6404721242623237,0.6392280469263684,52.796130453722874,0.998275626578282,0.00033719073452589157,0.0009178544023669841
24,BDI15,67594.73714285715,807.5,721523.3605576786,47316316,5951.97121041432,11.0,214290.45973198,47550298,3781.0334251377067,11.0,90936.85783679514,2759.867139555361,2561.4502201125365,1728.655906764121,1931906.9976887526,0.3823374178592586,0.36662623945617406,0.364822172092381,93.32659698068102,0.9954805961468423,0.0009704250433929983,0.002584084751687571
25,BDI16,114844.13,512.0,2008711.2970617965,80390891,10083.201026411316,1.0,595092.3962702876,80554693,3481.35853780671,1.0,77074.88172769752,2793.3144008203594,2525.298873230604,1756.0639756698306,1955320.0805742517,0.6697876974335315,0.6561141485544675,0.6547799890442138,80.71481861515456,0.9980683806963301,0.0004665774097109401,0.0010457367145574002
26,BDI17,115528.03285714285,539.0,1907174.0672721968,80869623,10146.7486543998,2.0,565114.398939524,81062375,3969.9012268402603,2.0,120616.08470450049,2787.356771577119,2549.0300150623657,1757.3309993217517,1951149.7401039833,0.6247251791995299,0.6102514413848572,0.6088003713189997,74.1880894815295,0.9977400489437918,0.0004065387918871116,0.0014007361615052606
27,BDI2,50099.34714285714,1058.5,302130.1227949941,35069543,4435.975966954563,16.0,90488.15261869758,35439012,4179.657986980471,16.0,87545.39771589606,2758.6506135816594,2527.840710632879,1713.51004324015,1931055.4295071617,0.06228396704416908,0.05850957339250187,0.057899582527865055,142.32061622885155,0.9898648980394826,0.0017952532085262422,0.005862860962376717
28,BDI3,38705.20714285714,1030.0,252267.16102950077,27093645,3433.1510827387656,15.0,75420.86059791475,27427444,2916.9313970956437,15.0,59664.236013461355,2763.395083347793,2516.04390839977,1718.7222136127828,1934376.5583434547,0.16589428138503168,0.15232339539401213,0.15046958076005915,158.41434397185807,0.9886446217883081,0.0023465183266803864,0.006922300160379509
29,BDI4,51043.532857142854,856.5,596231.5789078017,35730473,4500.692201777444,9.0,176962.88241022028,35956030,2625.559589384076,9.0,56797.57420198579,2779.2806579726052,2506.05989455879,1733.447758216355,1945496.4605808237,0.4429254697738943,0.41933561864686203,0.4167050700536183,126.24756668648229,0.9934971686251235,0.001796193851212161,0.0035321474589936654
30,BDI5,248595.28285714285,558.5,5024373.273025176,174016698,21805.166103392163,1.0,1487943.7781836402,174201472,5227.808587881823,1.0,136130.98838558947,2787.3265409996347,2574.0776336073764,1761.9658378608112,1951128.5786997443,0.7727271287219846,0.7610863699988147,0.760279092245558,70.27023872073836,0.9990131656292778,0.00021347695615339,0.0005681065657126021
31,BDI6,83921.90571428572,872.0,1305215.1295881981,58745334,7391.972086619101,9.0,386829.52919056034,59054465,3135.6492238357537,9.0,70047.86608126806,2741.3273915438867,2526.3114567657885,1695.5996437834438,1918929.1740807206,0.6006372174520009,0.5788868099720056,0.575856524989262,99.43755052068393,0.99538500602791,0.0010319287457773091,0.0028650839525851263
32,BDI7,69730.09714285714,726.5,650733.7008290697,48811068,6137.92427087245,11.0,193502.7930493303,49035877,4269.02766649975,11.0,97676.76120853898,2776.6308218594895,2532.273266157641,1741.7007364426024,1943641.575301643,0.31594830584388955,0.3059733091683222,0.30457054943669104,83.34635107765425,0.9956555686767874,0.0009242620459301666,0.0023527467450006044
33,BDI8,121356.94142857143,341.0,2167912.598799281,84949859,10656.77143572412,1.0,642217.1698472139,85136947,3527.881947921883,1.0,80213.51391763015,2772.2451055210704,2566.0321356577497,1742.646851763669,1940571.5738647492,0.6851778805834585,0.6704687526320674,0.6689954010213686,62.83074563315589,0.9982119396411995,0.00038489752281110104,0.0010890688856860231
34,BDI9,105071.09,862.0,1697742.5191529018,73549763,9230.195894354738,6.0,503094.5671596027,73740035,3680.6229344016024,6.0,84034.05621869313,2756.219044055863,2538.8202546524262,1719.9684842722038,1929353.330839104,0.6190893345448746,0.6028465244680666,0.6012909947764468,70.27618017780331,0.9975927052380704,0.0006049224142624831,0.0013547728855837944
35,BEN1,28633.018571428573,538.0,569885.8866389818,20043113,2524.109150081362,8.0,168774.63496644143,20165108,647.8517776664997,8.0,18997.6979807616,2973.133395249199,3146.9092622106923,1459.2729684987441,2081193.3766744395,0.7932690028077044,0.7478912083167919,0.7433666112772617,256.2311258945295,0.9934513120385966,0.003098123749200847,0.0015499545055746788
36,BEN10,9935.147142857142,883.0,89319.33200786758,6954603,906.9667042183002,23.0,26569.83400774162,7245757,656.9152478718078,23.0,14368.850421063184,2961.196036116201,3312.1521447386576,1400.0146635022634,2072837.2252813405,0.3642738823465932,0.2873374655605791,0.27579147354789846,442.25050861544753,0.9489539878303951,0.027287832037425488,0.01117881816903327
37,BEN11,26174.94714285714,832.0,508763.09774438135,18322463,2316.1920140192765,13.0,150681.10338311983,18504058,638.2214571857787,13.0,14529.668461125999,2954.6506178730765,3295.425336990876,1408.3932061589155,2068255.4325111534,0.7907788064747625,0.7316671890673213,0.7244867585261568,195.41634959017605,0.9854929659213131,0.008812283229981229,0.0032289673973136053
38,BEN12,11767.644285714287,647.0,150809.71996175172,8237351,1063.0125172111655,18.0,44734.960963358346,8492407,582.0703555332999,18.0,12382.947319472107,2980.2210537635056,3325.3008520522935,1425.723113621327,2086154.737634454,0.52914583139697,0.46651271749862305,0.45250174656019193,289.2050829093882,0.969955867635642,0.011990828984055993,0.006077546683761152
39,BEN2,30713.442857142858,609.5,574874.2222496575,21499410,2709.018650644636,10.0,170277.50663884453,21642350,822.1656234351527,10.0,23493.529992818454,3025.6661197496114,3234.51502684133,1497.0429342703408,2117966.283824728,0.7406300289203993,0.7011769625305997,0.6965459388652341,231.0825165865072,0.9921545026302596,0.003852723941716126,0.0017103041028354129
40,BEN3,8530.404285714285,1045.5,48999.55833354112,5971283,847.41256728001,52.0,14690.657192528708,6769979,759.9729594391588,52.0,12439.992136818739,2977.578894703255,3337.8842000353707,1409.850083223692,2084305.2262922786,0.16681165667161946,0.11711302244425528,0.10329647994476793,642.827997423917,0.8782817494707148,0.04329924804788907,0.03337971949396003
