"GID_1","member_community","trpar","trtax","trgov","trlaw","trgen","trrel","trnei","tracq","railway_contact","explorer_contact","district_ethnic_frac","loc_ln_export_area","distsea","mp_service"
"AGO5",0.40553874,1.79791285258299,1.59416518290539,1.57613009607818,2.33968604560371,0.138785204164429,2.2666051185142,1.56507760355598,1.19563428448731,NA,NA,NA,NA,NA,0.848025041306468
"BDI1",0.18851373,2.1990069413152,1.45828952813619,2.29689440849748,1.82531201793295,0.493147714721784,2.95042435214286,2.55547500976194,2.36315417493186,0.91277993,0.81823844,0.63991952,0,665.290473578674,1
"BDI10",0.46765333,2.56046999241988,1.99598807083869,2.37876859637645,2.00683430630325,0.38574550336086,2.9065199037866,2.51184612231149,1.97831060113305,0.92027134,0.73348373,0.79324335,0,570.203296362066,0.764954646187078
"BDI11",0.42534995,1.79667799727023,1.05655672238227,2.01123150655521,1.56936071401554,0.499858599979829,2.87743797232662,2.19624844976165,1.47231574667556,0.49353153,0.54223436,0.37406799,0.013720472,654.53809340289,0.842942902702607
"BDI12",0.50687033,2.21020799903316,1.5023773696748,2.28579486466202,1.95969014588944,0.56305057042602,2.97391072198095,2.44456251508966,2.20997917616252,0.94810909,1,0.62791663,0,675.539607785619,1
"BDI13",0.38873118,2.41909157437284,1.85255871581337,2.50932546703829,2.22495884093271,0.526490253665248,2.90237444626738,2.56290473592173,2.2556467574091,0.53902113,0.89879668,0.61579359,0,695.514408279871,0.942345129549448
"BDI14",0.64081997,1.81349212424003,1.11462770346205,2.30441545386934,1.36073409706552,0.661463582976756,2.85881149291925,2.46647036498892,2.09543397657325,1,0.67920619,0.79126054,0,548.549718229791,1
"BDI15",0.43795452,2.27722273233621,1.61463448751881,2.41484455235284,2.02393205294296,0.63762678267003,2.86323764681282,2.42662654149325,2.13502252095064,0.89030713,0.89331824,0.79296225,0,623.79634465892,1
"BDI16",0.36966875,2.27631104882818,1.11479191754149,1.99812469026498,1.83663652073658,0.607264927862067,2.93640299896572,2.62484762713131,2.18456953139379,0.98336333,0.91167289,0.76863211,0,552.829234962111,1
"BDI17",0.28332531,2.22954294781022,1.3743584304383,2.32923814393826,2.16339644144823,0.510632564628496,2.98387510426606,2.49322475847254,2.00777654018812,0.8645696,0.85405362,0.41858569,0,595.453739445115,1
"BDI2",0.24568291,1.5157269323267,1.15997967158659,1.68820673981675,1.56242417849925,0.545577187584708,2.96368948247376,2.12146546324352,1.98500104339614,1,0.80227464,0.75892121,0,574.967419128364,1
"BDI3",0.3597194,1.43770596660183,0.878501932555228,1.65046170675237,1.47627177586305,0.558977083178587,2.90958454599238,2.49611793210947,2.0317924356462,0.74263805,0.47109836,0.78375769,0.3568354,495.223663071202,1
"BDI4",0.35063133,1.58586430816835,0.970719181834328,1.93677167726188,1.52451281765398,0.411570530305071,2.88734203318609,2.20520446946279,1.53541702615188,0.44427374,0.46047011,0.81319767,0,766.52005288792,0.960041248651212
"BDI5",0.49324185,2.34284319230415,1.55874799245374,2.205154440099,2.00946032569479,0.640692224879207,2.96818267706482,2.57052437206787,2.03238176153216,0.71722353,0.8871243,0.42068207,0,560.026725042829,1
"BDI6",0.19325344,2.20492627661099,1.53734144306379,2.13561306598783,1.9748539742743,0.649683112855568,2.90438722753477,2.50912025245641,2.17931580863909,0.89751166,0.50467449,0.68295693,0,578.076958162672,1
"BDI7",0.29740137,2.46409725219015,1.64715345515571,2.57852210653363,1.86276527076442,0.603559800193673,2.74090611298557,2.50143490825266,2.31806666311782,0.74310952,0.60875666,0.52314067,0.35312888,366.807273661116,1
"BDI8",0.18574211,2.60356552629174,1.96319930147785,2.63500151929025,2.36772104559809,0.660676740663827,2.8986473263434,2.5398806320191,2.23241019708736,0.71451324,0.80915821,0.78514171,0,651.730109325231,1
"BDI9",0.48391718,2.29510596578494,1.69835470746129,2.26047616498375,2.1312716689598,0.60601289299981,2.97307188600084,2.55789037068562,2.21061176746437,0.93154168,0.78639615,0.7886529,0,593.090220249158,1
