,GID_1,HDI
288,NGA29,0.501
289,NGA30,0.363
290,NGA31,0.651
291,NGA32,0.569
292,NGA33,0.614
293,NGA34,0.408
294,NGA35,0.575
295,NGA36,0.416
296,NGA37,0.646
297,NER1,0.507
298,NER2,0.381
299,NER3,0.378
300,NER4,0.38
301,NER5,0.499
302,NER6,0.353
303,NER7,0.363
304,NAM1,0.575
305,NAM2,0.665
306,NAM3,0.633
307,NAM4,0.649
308,NAM5,0.702
309,NAM6,0.544
310,NAM7,0.541
311,NAM8,0.524
312,NAM9,0.564
313,NAM10,0.585
314,NAM11,0.633
315,NAM12,0.584
316,NAM13,0.606
317,MUS1,0.796
318,MUS2,0.812
319,MUS3,0.72
320,MRT1,0.416
321,MRT2,0.464
322,MRT3,0.489
323,MRT4,0.474
324,MRT5,0.531
325,MRT6,0.666
326,MRT7,0.577
327,MRT8,0.692
328,MRT9,0.521
329,MRT10,0.452
330,MRT11,0.713
331,MRT12,0.621
332,MOZ1,0.416
333,MOZ2,0.383
334,MOZ3,0.435
335,MOZ4,0.417
336,MOZ6,0.48
337,MOZ5,0.398
338,MOZ7,0.472
339,MOZ8,0.468
340,MOZ9,0.44
341,MOZ10,0.529
342,MOZ11,0.61
343,MLI1,0.393
344,MLI2,0.432
345,MLI3,0.407
346,MLI4,0.38
347,MLI5,0.352
348,MLI6,0.331
349,MLI7,0.389
350,MLI8,0.606
351,MAR1,0.702
352,MAR2,0.684
353,MAR3,0.718
354,MAR4,0.646
355,MAR5,0.665
356,MAR6,0.646
357,MAR7,0.666
358,LSO1,0.52
359,LSO2,0.514
360,LSO3,0.54
361,LSO4,0.547
362,LSO5,0.495
363,LSO6,0.505
364,LSO7,0.464
365,LSO8,0.48
366,LSO9,0.449
367,LSO10,0.439
368,LBY1,0.709
369,LBY2,0.724
370,LBY3,0.716
371,LBR1,0.443
372,LBR2,0.434
373,LBR3,0.392
374,LBR5,0.406
375,LBR4,0.42
376,LBR6,0.462
377,LBR7,0.427
378,LBR8,0.425
379,LBR9,0.474
380,LBR10,0.465
381,LBR11,0.545
382,LBR12,0.474
383,LBR14,0.455
384,LBR13,0.43
385,LBR15,0.452
386,GNQ1,0.719
387,GNQ2,0.509
388,GNQ3,0.533
389,GNQ4,0.634
390,GNQ5,0.489
391,GNB1,0.467
392,GNB2,0.471
393,GNB3,0.433
394,GNB4,0.481
395,GNB5,0.473
396,GNB6,0.463
397,GNB7,0.388
398,GNB8,0.503
399,GNB9,0.577
400,GMB1,0.546
401,GMB2,0.553
402,GMB3,0.53
403,GMB4,0.443
404,GMB5,0.45
405,GMB6,0.342
406,GIN1,0.44
407,GIN2,0.65
408,GIN3,0.404
409,GIN4,0.391
410,GIN5,0.458
411,GIN6,0.399
412,GIN7,0.432
413,GIN8,0.45
414,GAB1,0.692
415,GAB2,0.686
416,GAB3,0.66
417,GAB4,0.622
418,GAB5,0.64
419,GAB6,0.598
420,GAB7,0.634
421,GAB8,0.653
422,GAB9,0.647
423,ERI6,0.47
424,ERI5,0.371
425,ERI3,0.401
426,ERI4,0.451
427,ERI1,0.491
428,ERI2,0.674
429,EGY1,0.779
430,EGY2,0.78
431,EGY3,0.797
432,EGY4,0.783
433,EGY5,0.757
434,EGY6,0.748
435,EGY7,0.73
436,EGY8,0.735
437,EGY9,0.735
438,EGY10,0.743
439,EGY11,0.752
440,EGY12,0.718
441,EGY13,0.745
442,EGY14,0.733
443,EGY15,0.697
444,EGY16,0.702
445,EGY17,0.69
446,EGY18,0.676
447,EGY19,0.685
448,EGY20,0.708
449,EGY21,0.724
450,EGY22,0.738
451,COD1,0.578
452,COD2,0.479
453,COD3,0.455
454,COD4,0.454
455,COD5,0.466
456,COD6,0.502
457,COD9,0.464
458,COD7,0.49
459,COD8,0.428
460,COD10,0.447
461,COD11,0.401
462,CIV1,0.537
463,CIV2,0.546
464,CIV3,0.546
465,CIV4,0.515
466,CIV5,0.503
467,CIV6,0.498
468,CIV7,0.482
469,CIV8,0.484
470,CIV9,0.612
471,CIV10,0.508
472,CAF1,0.401
473,CAF2,0.383
474,CAF3,0.361
475,CAF4,0.387
476,CAF5,0.34
477,CAF6,0.546
478,BWA1,0.671
479,BWA2,0.644
480,BWA3,0.661
481,BWA4,0.708
482,BWA5,0.679
483,BWA6,0.711
484,BWA7,0.658
485,BWA8,0.77
486,BWA9,0.677
487,BWA10,0.668
488,BFA1,0.415
489,BFA2,0.457
490,BFA7,0.453
491,BFA3,0.65
492,BFA4,0.435
493,BFA5,0.401
494,BFA6,0.451
495,BFA8,0.35
496,BFA9,0.496
497,BFA10,0.432
498,BFA11,0.436
499,BFA12,0.286
500,BFA13,0.369
501,BDI1,0.378
502,BDI2,0.459
503,BDI3,0.409
504,BDI4,0.475
505,BDI5,0.429
