,GID_1,HDI
516,NAM7,0.524
520,NAM11,0.524
521,NAM12,0.524
522,NAM13,0.524
770,BWA12,0.524
18,AGO5,0.541
21,AGO8,0.541
513,NAM4,0.541
516,NAM7,0.541
518,NAM9,0.541
519,NAM10,0.541
520,NAM11,0.541
18,AGO5,0.519
21,AGO8,0.519
23,AGO10,0.519
29,AGO16,0.519
515,NAM6,0.519
516,NAM7,0.519
518,NAM9,0.519
18,AGO5,0.575
253,ZMB9,0.575
254,ZMB10,0.575
513,NAM4,0.575
522,NAM13,0.575
760,BWA2,0.575
770,BWA12,0.575
18,AGO5,0.517
28,AGO15,0.517
245,ZMB1,0.517
251,ZMB7,0.517
253,ZMB9,0.517
254,ZMB10,0.517
522,NAM13,0.517
21,AGO8,0.585
515,NAM6,0.585
516,NAM7,0.585
518,NAM9,0.585
519,NAM10,0.585
21,AGO8,0.544
29,AGO16,0.544
511,NAM2,0.544
515,NAM6,0.544
518,NAM9,0.544
519,NAM10,0.544
520,NAM11,0.544
521,NAM12,0.544
25,AGO12,0.464
26,AGO13,0.464
28,AGO15,0.464
245,ZMB1,0.464
246,ZMB2,0.464
248,ZMB4,0.464
251,ZMB7,0.464
252,ZMB8,0.464
330,TZA7,0.464
331,TZA8,0.464
345,TZA21,0.464
704,COD3,0.464
705,COD4,0.464
709,COD7,0.464
715,COD14,0.464
716,COD15,0.464
718,COD17,0.464
723,COD22,0.464
725,COD24,0.464
25,AGO12,0.401
708,COD9,0.401
709,COD7,0.401
710,COD8,0.401
713,COD12,0.401
714,COD13,0.401
715,COD14,0.401
716,COD15,0.401
717,COD16,0.401
722,COD21,0.401
727,COD26,0.401
25,AGO12,0.521
26,AGO13,0.521
27,AGO14,0.521
708,COD9,0.521
709,COD7,0.521
713,COD12,0.521
716,COD15,0.521
25,AGO12,0.455
27,AGO14,0.455
30,AGO17,0.455
62,COG9,0.455
64,COG11,0.455
703,COD2,0.455
708,COD9,0.455
711,COD10,0.455
712,COD11,0.455
713,COD12,0.455
714,COD13,0.455
717,COD16,0.455
727,COD26,0.455
28,AGO15,0.586
245,ZMB1,0.586
246,ZMB2,0.586
251,ZMB7,0.586
254,ZMB10,0.586
704,COD3,0.586
716,COD15,0.586
32,BEN1,0.484
35,BEN4,0.484
479,NGA15,0.484
483,NGA19,0.484
486,NGA22,0.484
487,NGA23,0.484
488,NGA24,0.484
491,NGA27,0.484
501,NGA37,0.484
32,BEN1,0.481
33,BEN2,0.481
35,BEN4,0.481
36,BEN5,0.481
37,BEN6,0.481
376,TGO1,0.481
377,TGO2,0.481
380,TGO5,0.481
782,BFA8,0.481
32,BEN1,0.438
33,BEN2,0.438
35,BEN4,0.438
36,BEN5,0.438
37,BEN6,0.438
486,NGA22,0.438
488,NGA24,0.438
491,NGA27,0.438
504,NER3,0.438
508,NER7,0.438
782,BFA8,0.438
32,BEN1,0.335
486,NGA22,0.335
491,NGA27,0.335
498,NGA34,0.335
501,NGA37,0.335
504,NER3,0.335
32,BEN1,0.35
33,BEN2,0.35
380,TGO5,0.35
508,NER7,0.35
778,BFA3,0.35
779,BFA4,0.35
782,BFA8,0.35
786,BFA12,0.35
32,BEN1,0.378
486,NGA22,0.378
498,NGA34,0.378
504,NER3,0.378
507,NER6,0.378
508,NER7,0.378
32,BEN1,0.499
504,NER3,0.499
506,NER5,0.499
507,NER6,0.499
508,NER7,0.499
560,MLI2,0.499
782,BFA8,0.499
786,BFA12,0.499
33,BEN2,0.508
37,BEN6,0.508
376,TGO1,0.508
377,TGO2,0.508
380,TGO5,0.508
33,BEN2,0.466
377,TGO2,0.466
380,TGO5,0.466
778,BFA3,0.466
782,BFA8,0.466
34,BEN3,0.62
38,BEN7,0.62
39,BEN8,0.62
40,BEN9,0.62
41,BEN10,0.62
34,BEN3,0.524
38,BEN7,0.524
40,BEN9,0.524
43,BEN12,0.524
378,TGO3,0.524
379,TGO4,0.524
34,BEN3,0.553
39,BEN8,0.553
41,BEN10,0.553
42,BEN11,0.553
43,BEN12,0.553
489,NGA25,0.553
492,NGA28,0.553
34,BEN3,0.535
35,BEN4,0.535
36,BEN5,0.535
37,BEN6,0.535
38,BEN7,0.535
42,BEN11,0.535
43,BEN12,0.535
376,TGO1,0.535
379,TGO4,0.535
488,NGA24,0.535
492,NGA28,0.535
495,NGA31,0.535
35,BEN4,0.571
36,BEN5,0.571
477,NGA13,0.571
487,NGA23,0.571
488,NGA24,0.571
491,NGA27,0.571
494,NGA30,0.571
495,NGA31,0.571
36,BEN5,0.671
41,BEN10,0.671
42,BEN11,0.671
489,NGA25,0.671
492,NGA28,0.671
493,NGA29,0.671
494,NGA30,0.671
495,NGA31,0.671
36,BEN5,0.527
38,BEN7,0.527
43,BEN12,0.527
376,TGO1,0.527
378,TGO3,0.527
379,TGO4,0.527
36,BEN5,0.632
488,NGA24,0.632
492,NGA28,0.632
494,NGA30,0.632
495,NGA31,0.632
36,BEN5,0.527
37,BEN6,0.527
376,TGO1,0.527
377,TGO2,0.527
379,TGO4,0.527
38,BEN7,0.521
40,BEN9,0.521
378,TGO3,0.521
379,TGO4,0.521
41,BEN10,0.681
489,NGA25,0.681
492,NGA28,0.681
44,CMR1,0.533
45,CMR2,0.533
46,CMR3,0.533
52,CMR10,0.533
65,COG12,0.533
749,CAF8,0.533
752,CAF11,0.533
757,CAF16,0.533
44,CMR1,0.383
46,CMR3,0.383
60,COG7,0.383
65,COG12,0.383
748,CAF7,0.383
749,CAF8,0.383
752,CAF11,0.383
753,CAF12,0.383
756,CAF14,0.383
757,CAF16,0.383
44,CMR1,0.361
49,CMR7,0.361
392,TCD12,0.361
393,TCD13,0.361
396,TCD16,0.361
742,CAF1,0.361
747,CAF6,0.361
751,CAF10,0.361
752,CAF11,0.361
753,CAF12,0.361
755,CAF15,0.361
756,CAF14,0.361
44,CMR1,0.655
45,CMR2,0.655
46,CMR3,0.655
48,CMR5,0.655
51,CMR8,0.655
52,CMR10,0.655
44,CMR1,0.616
45,CMR2,0.616
48,CMR5,0.616
50,CMR6,0.616
51,CMR8,0.616
53,CMR9,0.616
44,CMR1,0.549
50,CMR6,0.549
51,CMR8,0.549
53,CMR9,0.549
499,NGA35,0.549
44,CMR1,0.494
45,CMR2,0.494
46,CMR3,0.494
49,CMR7,0.494
50,CMR6,0.494
51,CMR8,0.494
466,NGA2,0.494
499,NGA35,0.494
752,CAF11,0.494
756,CAF14,0.494
44,CMR1,0.501
50,CMR6,0.501
53,CMR9,0.501
466,NGA2,0.501
469,NGA5,0.501
471,NGA7,0.501
480,NGA16,0.501
490,NGA26,0.501
496,NGA32,0.501
499,NGA35,0.501
44,CMR1,0.455
47,CMR4,0.455
49,CMR7,0.455
392,TCD12,0.455
395,TCD15,0.455
466,NGA2,0.455
756,CAF14,0.455
44,CMR1,0.485
47,CMR4,0.485
49,CMR7,0.485
466,NGA2,0.485
472,NGA8,0.485
480,NGA16,0.485
499,NGA35,0.485
45,CMR2,0.617
46,CMR3,0.617
48,CMR5,0.617
52,CMR10,0.617
65,COG12,0.617
633,GNQ4,0.617
634,GNQ5,0.617
635,GNQ6,0.617
668,GAB9,0.617
45,CMR2,0.693
48,CMR5,0.693
51,CMR8,0.693
52,CMR10,0.693
53,CMR9,0.693
46,CMR3,0.482
52,CMR10,0.482
56,COG4,0.482
57,COG3,0.482
60,COG7,0.482
65,COG12,0.482
665,GAB6,0.482
668,GAB9,0.482
757,CAF16,0.482
47,CMR4,0.458
49,CMR7,0.458
384,TCD4,0.458
391,TCD11,0.458
392,TCD12,0.458
394,TCD14,0.458
395,TCD15,0.458
400,TCD20,0.458
47,CMR4,0.284
381,TCD1,0.284
382,TCD2,0.284
384,TCD4,0.284
387,TCD7,0.284
388,TCD8,0.284
389,TCD9,0.284
390,TCD10,0.284
394,TCD14,0.284
396,TCD16,0.284
400,TCD20,0.284
402,TCD22,0.284
47,CMR4,0.532
384,TCD4,0.532
388,TCD8,0.532
402,TCD22,0.532
47,CMR4,0.268
381,TCD1,0.268
382,TCD2,0.268
383,TCD3,0.268
385,TCD5,0.268
386,TCD6,0.268
388,TCD8,0.268
389,TCD9,0.268
390,TCD10,0.268
401,TCD21,0.268
403,TCD23,0.268
449,SDN8,0.268
472,NGA8,0.268
502,NER1,0.268
503,NER2,0.268
598,LBY6,0.268
608,LBY16,0.268
47,CMR4,0.462
49,CMR7,0.462
384,TCD4,0.462
388,TCD8,0.462
390,TCD10,0.462
394,TCD14,0.462
395,TCD15,0.462
402,TCD22,0.462
466,NGA2,0.462
472,NGA8,0.462
47,CMR4,0.512
390,TCD10,0.512
466,NGA2,0.512
472,NGA8,0.512
480,NGA16,0.512
500,NGA36,0.512
503,NER2,0.512
48,CMR5,0.663
50,CMR6,0.663
51,CMR8,0.663
53,CMR9,0.663
471,NGA7,0.663
473,NGA9,0.663
499,NGA35,0.663
49,CMR7,0.413
384,TCD4,0.413
391,TCD11,0.413
392,TCD12,0.413
393,TCD13,0.413
394,TCD14,0.413
395,TCD15,0.413
396,TCD16,0.413
400,TCD20,0.413
755,CAF15,0.413
756,CAF14,0.413
52,CMR10,0.647
65,COG12,0.647
633,GNQ4,0.647
634,GNQ5,0.647
636,GNQ7,0.647
660,GAB1,0.647
662,GAB3,0.647
665,GAB6,0.647
668,GAB9,0.647
52,CMR10,0.634
633,GNQ4,0.634
635,GNQ6,0.634
660,GAB1,0.634
52,CMR10,0.509
633,GNQ4,0.509
634,GNQ5,0.509
635,GNQ6,0.509
636,GNQ7,0.509
660,GAB1,0.509
668,GAB9,0.509
52,CMR10,0.533
633,GNQ4,0.533
