,GID_1,HDI
151,ETH9,0.585
148,ETH6,0.502
150,ETH8,0.502
152,ETH10,0.502
178,KEN25,0.502
196,KEN43,0.502
411,SSD2,0.502
412,SSD3,0.502
148,ETH6,0.581
150,ETH8,0.581
152,ETH10,0.581
412,SSD3,0.581
416,SSD7,0.581
148,ETH6,0.335
152,ETH10,0.335
410,SSD1,0.335
411,SSD2,0.335
412,SSD3,0.335
413,SSD4,0.335
415,SSD6,0.335
416,SSD7,0.335
149,ETH7,0.603
150,ETH8,0.603
150,ETH8,0.568
151,ETH9,0.568
152,ETH10,0.568
159,KEN6,0.568
160,KEN7,0.568
162,KEN9,0.568
163,KEN10,0.568
166,KEN13,0.568
168,KEN15,0.568
171,KEN18,0.568
173,KEN20,0.568
175,KEN22,0.568
176,KEN23,0.568
178,KEN25,0.568
179,KEN26,0.568
182,KEN29,0.568
183,KEN30,0.568
189,KEN36,0.568
190,KEN37,0.568
192,KEN39,0.568
193,KEN40,0.568
194,KEN41,0.568
196,KEN43,0.568
199,KEN46,0.568
151,ETH9,0.291
421,SOM2,0.291
425,SOM6,0.291
427,SOM8,0.291
433,SOM14,0.291
434,SOM15,0.291
151,ETH9,0.435
160,KEN7,0.435
162,KEN9,0.435
174,KEN21,0.435
177,KEN24,0.435
178,KEN25,0.435
193,KEN40,0.435
199,KEN46,0.435
426,SOM7,0.435
429,SOM10,0.435
151,ETH9,0.33
177,KEN24,0.33
199,KEN46,0.33
421,SOM2,0.33
424,SOM5,0.33
426,SOM7,0.33
428,SOM9,0.33
429,SOM10,0.33
151,ETH9,0.295
421,SOM2,0.295
424,SOM5,0.295
426,SOM7,0.295
427,SOM8,0.295
434,SOM15,0.295
151,ETH9,0.279
425,SOM6,0.279
427,SOM8,0.279
430,SOM11,0.279
431,SOM12,0.279
433,SOM14,0.279
151,ETH9,0.378
423,SOM4,0.378
430,SOM11,0.378
431,SOM12,0.378
435,SOM16,0.378
151,ETH9,0.338
423,SOM4,0.338
431,SOM12,0.338
432,SOM13,0.338
435,SOM16,0.338
436,SOM17,0.338
437,SOM18,0.338
151,ETH9,0.323
435,SOM16,0.323
436,SOM17,0.323
437,SOM18,0.323
151,ETH9,0.457
420,SOM1,0.457
432,SOM13,0.457
436,SOM17,0.457
437,SOM18,0.457
151,ETH9,0.401
420,SOM1,0.401
437,SOM18,0.401
152,ETH10,0.569
154,KEN1,0.569
155,KEN2,0.569
156,KEN3,0.569
158,KEN5,0.569
161,KEN8,0.569
162,KEN9,0.569
163,KEN10,0.569
164,KEN11,0.569
165,KEN12,0.569
166,KEN13,0.569
169,KEN16,0.569
170,KEN17,0.569
173,KEN20,0.569
175,KEN22,0.569
176,KEN23,0.569
178,KEN25,0.569
179,KEN26,0.569
180,KEN27,0.569
183,KEN30,0.569
184,KEN31,0.569
185,KEN32,0.569
186,KEN33,0.569
187,KEN34,0.569
188,KEN35,0.569
189,KEN36,0.569
190,KEN37,0.569
192,KEN39,0.569
195,KEN42,0.569
196,KEN43,0.569
197,KEN44,0.569
198,KEN45,0.569
200,KEN47,0.569
283,UGA20,0.569
291,UGA28,0.569
303,UGA40,0.569
308,UGA45,0.569
322,TZA1,0.569
332,TZA9,0.569
337,TZA12,0.569
411,SSD2,0.569
152,ETH10,0.371
196,KEN43,0.371
264,UGA1,0.371
271,UGA8,0.371
290,UGA27,0.371
291,UGA28,0.371
304,UGA41,0.371
410,SSD1,0.371
411,SSD2,0.371
412,SSD3,0.371
153,ETH11,0.674
670,ERI5,0.674
672,ERI4,0.674
673,ERI1,0.674
674,ERI2,0.674
153,ETH11,0.371
443,SDN2,0.371
447,SDN6,0.371
669,ERI6,0.371
670,ERI5,0.371
672,ERI4,0.371
673,ERI1,0.371
155,KEN2,0.549
157,KEN4,0.549
161,KEN8,0.549
164,KEN11,0.549
165,KEN12,0.549
169,KEN16,0.549
170,KEN17,0.549
180,KEN27,0.549
185,KEN32,0.549
186,KEN33,0.549
187,KEN34,0.549
191,KEN38,0.549
198,KEN45,0.549
295,UGA32,0.549
337,TZA12,0.549
156,KEN3,0.546
157,KEN4,0.546
164,KEN11,0.546
170,KEN17,0.546
185,KEN32,0.546
191,KEN38,0.546
195,KEN42,0.546
197,KEN44,0.546
198,KEN45,0.546
270,UGA7,0.546
283,UGA20,0.546
295,UGA32,0.546
301,UGA38,0.546
319,UGA56,0.546
156,KEN3,0.524
157,KEN4,0.524
195,KEN42,0.524
200,KEN47,0.524
267,UGA4,0.524
270,UGA7,0.524
273,UGA10,0.524
277,UGA14,0.524
280,UGA17,0.524
283,UGA20,0.524
285,UGA22,0.524
292,UGA29,0.524
296,UGA33,0.524
301,UGA38,0.524
303,UGA40,0.524
308,UGA45,0.524
313,UGA50,0.524
317,UGA54,0.524
318,UGA55,0.524
319,UGA56,0.524
157,KEN4,0.526
267,UGA4,0.526
270,UGA7,0.526
273,UGA10,0.526
274,UGA11,0.526
277,UGA14,0.526
280,UGA17,0.526
286,UGA23,0.526
295,UGA32,0.526
296,UGA33,0.526
298,UGA35,0.526
300,UGA37,0.526
307,UGA44,0.526
313,UGA50,0.526
318,UGA55,0.526
319,UGA56,0.526
159,KEN6,0.613
163,KEN10,0.613
166,KEN13,0.613
168,KEN15,0.613
173,KEN20,0.613
175,KEN22,0.613
179,KEN26,0.613
182,KEN29,0.613
183,KEN30,0.613
184,KEN31,0.613
188,KEN35,0.613
189,KEN36,0.613
160,KEN7,0.563
162,KEN9,0.563
163,KEN10,0.563
167,KEN14,0.563
171,KEN18,0.563
172,KEN19,0.563
174,KEN21,0.563
176,KEN23,0.563
179,KEN26,0.563
181,KEN28,0.563
192,KEN39,0.563
193,KEN40,0.563
332,TZA9,0.563
351,TZA27,0.563
160,KEN7,0.3
199,KEN46,0.3
426,SOM7,0.3
428,SOM9,0.3
429,SOM10,0.3
163,KEN10,0.568
186,KEN33,0.568
322,TZA1,0.568
324,TZA3,0.568
332,TZA9,0.568
336,TZA11,0.568
337,TZA12,0.568
340,TZA14,0.568
348,TZA24,0.568
349,TZA25,0.568
351,TZA27,0.568
163,KEN10,0.64
192,KEN39,0.64
322,TZA1,0.64
332,TZA9,0.64
336,TZA11,0.64
351,TZA27,0.64
163,KEN10,0.636
166,KEN13,0.636
175,KEN22,0.636
183,KEN30,0.636
172,KEN19,0.569
192,KEN39,0.569
332,TZA9,0.569
336,TZA11,0.569
340,TZA14,0.569
344,TZA20,0.569
351,TZA27,0.569
180,KEN27,0.541
186,KEN33,0.541
322,TZA1,0.541
337,TZA12,0.541
348,TZA24,0.541
196,KEN43,0.473
200,KEN47,0.473
264,UGA1,0.473
265,UGA2,0.473
266,UGA3,0.473
271,UGA8,0.473
277,UGA14,0.473
280,UGA17,0.473
283,UGA20,0.473
285,UGA22,0.473
286,UGA23,0.473
290,UGA27,0.473
291,UGA28,0.473
292,UGA29,0.473
294,UGA31,0.473
296,UGA33,0.473
299,UGA36,0.473
303,UGA40,0.473
308,UGA45,0.473
309,UGA46,0.473
310,UGA47,0.473
312,UGA49,0.473
317,UGA54,0.473
411,SSD2,0.473
201,MDG1,0.51
203,MDG3,0.51
205,MDG5,0.51
206,MDG6,0.51
201,MDG1,0.431
203,MDG3,0.431
204,MDG4,0.431
206,MDG6,0.431
201,MDG1,0.511
203,MDG3,0.511
205,MDG5,0.511
206,MDG6,0.511
201,MDG1,0.501
201,MDG1,0.522
203,MDG3,0.522
205,MDG5,0.522
201,MDG1,0.612
204,MDG4,0.612
205,MDG5,0.612
201,MDG1,0.472
204,MDG4,0.472
206,MDG6,0.472
201,MDG1,0.518
204,MDG4,0.518
205,MDG5,0.518
201,MDG1,0.448
204,MDG4,0.448
206,MDG6,0.448
201,MDG1,0.444
204,MDG4,0.444
205,MDG5,0.444
202,MDG2,0.526
204,MDG4,0.526
205,MDG5,0.526
202,MDG2,0.519
204,MDG4,0.519
205,MDG5,0.519
202,MDG2,0.555
204,MDG4,0.555
205,MDG5,0.555
202,MDG2,0.577
204,MDG4,0.577
203,MDG3,0.412
206,MDG6,0.412
203,MDG3,0.4
206,MDG6,0.4
203,MDG3,0.401
206,MDG6,0.401
203,MDG3,0.428
206,MDG6,0.428
203,MDG3,0.496
206,MDG6,0.496
203,MDG3,0.455
205,MDG5,0.455
204,MDG4,0.507
206,MDG6,0.41
207,MWI1,0.49
212,MWI6,0.49
213,MWI7,0.49
215,MWI9,0.49
217,MWI11,0.49
219,MWI13,0.49
220,MWI14,0.49
223,MWI17,0.49
224,MWI18,0.49
225,MWI19,0.49
226,MWI20,0.49
228,MWI22,0.49
229,MWI23,0.49
232,MWI26,0.49
247,ZMB3,0.49
555,MOZ8,0.49
557,MOZ10,0.49
207,MWI1,0.5
208,MWI2,0.5
209,MWI3,0.5
210,MWI4,0.5
218,MWI12,0.5
219,MWI13,0.5
221,MWI15,0.5
222,MWI16,0.5
224,MWI18,0.5
227,MWI21,0.5
228,MWI22,0.5
230,MWI24,0.5
233,MWI27,0.5
234,MWI28,0.5
557,MOZ10,0.5
558,MOZ11,0.5
207,MWI1,0.52
208,MWI2,0.52
210,MWI4,0.52
218,MWI12,0.52
221,MWI15,0.52
224,MWI18,0.52
230,MWI24,0.52
234,MWI28,0.52
555,MOZ8,0.52
207,MWI1,0.49
218,MWI12,0.49
219,MWI13,0.49
234,MWI28,0.49
555,MOZ8,0.49
207,MWI1,0.465
212,MWI6,0.465
218,MWI12,0.465
219,MWI13,0.465
228,MWI22,0.465
555,MOZ8,0.465
208,MWI2,0.484
209,MWI3,0.484
210,MWI4,0.484
221,MWI15,0.484
227,MWI21,0.484
233,MWI27,0.484
558,MOZ11,0.484
208,MWI2,0.574
209,MWI3,0.574
210,MWI4,0.574
222,MWI16,0.574
224,MWI18,0.574
233,MWI27,0.574
234,MWI28,0.574
209,MWI3,0.398
212,MWI6,0.398
217,MWI11,0.398
220,MWI14,0.398
222,MWI16,0.398
224,MWI18,0.398
227,MWI21,0.398
228,MWI22,0.398
237,ZWE3,0.398
238,ZWE4,0.398
239,ZWE5,0.398
247,ZMB3,0.398
249,ZMB5,0.398
551,MOZ4,0.398
556,MOZ9,0.398
557,MOZ10,0.398
558,MOZ11,0.398
210,MWI4,0.509
221,MWI15,0.509
230,MWI24,0.509
233,MWI27,0.509
234,MWI28,0.509
558,MOZ11,0.509
211,MWI5,0.52
223,MWI17,0.52
231,MWI25,0.52
245,ZMB1,0.52
247,ZMB3,0.52
248,ZMB4,0.52
250,ZMB6,0.52
252,ZMB8,0.52
345,TZA21,0.52
704,COD3,0.52
725,COD24,0.52
211,MWI5,0.554
214,MWI8,0.554
223,MWI17,0.554
225,MWI19,0.554
226,MWI20,0.554
231,MWI25,0.554
250,ZMB6,0.554
338,TZA13,0.554
343,TZA17,0.554
346,TZA22,0.554
555,MOZ8,0.554
211,MWI5,0.543
214,MWI8,0.543
250,ZMB6,0.543
252,ZMB8,0.543
326,TZA5,0.543
330,TZA7,0.543
338,TZA13,0.543
343,TZA17,0.543
345,TZA21,0.543
349,TZA25,0.543
350,TZA26,0.543
212,MWI6,0.486
213,MWI7,0.486
217,MWI11,0.486
226,MWI20,0.486
229,MWI23,0.486
232,MWI26,0.486
555,MOZ8,0.486
212,MWI6,0.521
213,MWI7,0.521
215,MWI9,0.521
217,MWI11,0.521
220,MWI14,0.521
232,MWI26,0.521
557,MOZ10,0.521
212,MWI6,0.416
216,MWI10,0.416
218,MWI12,0.416
219,MWI13,0.416
225,MWI19,0.416
226,MWI20,0.416
232,MWI26,0.416
234,MWI28,0.416
341,TZA15,0.416
346,TZA22,0.416
548,MOZ1,0.416
554,MOZ7,0.416
555,MOZ8,0.416
558,MOZ11,0.416
213,MWI7,0.538
215,MWI9,0.538
217,MWI11,0.538
220,MWI14,0.538
223,MWI17,0.538
226,MWI20,0.538
229,MWI23,0.538
247,ZMB3,0.538
214,MWI8,0.555
225,MWI19,0.555
231,MWI25,0.555
335,TZA10,0.555
340,TZA14,0.555
341,TZA15,0.555
343,TZA17,0.555
346,TZA22,0.555
555,MOZ8,0.555
214,MWI8,0.577
324,TZA3,0.577
326,TZA5,0.577
338,TZA13,0.577
340,TZA14,0.577
343,TZA17,0.577
346,TZA22,0.577
349,TZA25,0.577
215,MWI9,0.509
220,MWI14,0.509
223,MWI17,0.509
245,ZMB1,0.509
247,ZMB3,0.509
249,ZMB5,0.509
250,ZMB6,0.509
557,MOZ10,0.509
215,MWI9,0.546
223,MWI17,0.546
225,MWI19,0.546
226,MWI20,0.546
231,MWI25,0.546
247,ZMB3,0.546
250,ZMB6,0.546
221,MWI15,0.417
227,MWI21,0.417
230,MWI24,0.417
233,MWI27,0.417
234,MWI28,0.417
554,MOZ7,0.417
555,MOZ8,0.417
556,MOZ9,0.417
557,MOZ10,0.417
558,MOZ11,0.417
235,ZWE1,0.585
241,ZWE7,0.585
242,ZWE8,0.585
243,ZWE9,0.585
244,ZWE10,0.585
259,ZAF5,0.585
759,BWA1,0.585
769,BWA11,0.585
235,ZWE1,0.693
242,ZWE8,0.693
243,ZWE9,0.693
235,ZWE1,0.541
240,ZWE6,0.541
242,ZWE8,0.541
243,ZWE9,0.541
244,ZWE10,0.541
253,ZMB9,0.541
759,BWA1,0.541
760,BWA2,0.541
236,ZWE2,0.581
237,ZWE3,0.581
238,ZWE4,0.581
239,ZWE5,0.581
240,ZWE6,0.581
241,ZWE7,0.581
244,ZWE10,0.581
557,MOZ10,0.581
236,ZWE2,0.665
238,ZWE4,0.665
239,ZWE5,0.665
236,ZWE2,0.559
238,ZWE4,0.559
239,ZWE5,0.559
240,ZWE6,0.559
242,ZWE8,0.559
244,ZWE10,0.559
249,ZMB5,0.559
253,ZMB9,0.559
236,ZWE2,0.535
238,ZWE4,0.535
239,ZWE5,0.535
240,ZWE6,0.535
557,MOZ10,0.535
237,ZWE3,0.44
241,ZWE7,0.44
259,ZAF5,0.44
260,ZAF6,0.44
549,MOZ2,0.44
550,MOZ3,0.44
551,MOZ4,0.44
552,MOZ6,0.44
237,ZWE3,0.588
239,ZWE5,0.588
241,ZWE7,0.588
243,ZWE9,0.588
244,ZWE10,0.588
259,ZAF5,0.588
549,MOZ2,0.588
237,ZWE3,0.583
239,ZWE5,0.583
241,ZWE7,0.583
549,MOZ2,0.583
551,MOZ4,0.583
557,MOZ10,0.583
237,ZWE3,0.48
549,MOZ2,0.48
550,MOZ3,0.48
551,MOZ4,0.48
556,MOZ9,0.48
557,MOZ10,0.48
238,ZWE4,0.636
240,ZWE6,0.636
245,ZMB1,0.636
249,ZMB5,0.636
557,MOZ10,0.636
239,ZWE5,0.59
240,ZWE6,0.59
241,ZWE7,0.59
242,ZWE8,0.59
243,ZWE9,0.59
244,ZWE10,0.59
240,ZWE6,0.562
242,ZWE8,0.562
245,ZMB1,0.562
249,ZMB5,0.562
253,ZMB9,0.562
254,ZMB10,0.562
522,NAM13,0.562
760,BWA2,0.562
241,ZWE7,0.714
243,ZWE9,0.714
257,ZAF3,0.714
259,ZAF5,0.714
260,ZAF6,0.714
261,ZAF7,0.714
549,MOZ2,0.714
759,BWA1,0.714
766,BWA8,0.714
242,ZWE8,0.671
243,ZWE9,0.671
259,ZAF5,0.671
759,BWA1,0.671
760,BWA2,0.671
763,BWA5,0.671
766,BWA8,0.671
767,BWA9,0.671
769,BWA11,0.671
770,BWA12,0.671
771,BWA13,0.671
774,BWA16,0.671
242,ZWE8,0.668
522,NAM13,0.668
759,BWA1,0.668
760,BWA2,0.668
770,BWA12,0.668
243,ZWE9,0.711
759,BWA1,0.711
761,BWA3,0.711
769,BWA11,0.711
245,ZMB1,0.561
246,ZMB2,0.561
247,ZMB3,0.561
249,ZMB5,0.561
250,ZMB6,0.561
251,ZMB7,0.561
253,ZMB9,0.561
254,ZMB10,0.561
704,COD3,0.561
245,ZMB1,0.631
246,ZMB2,0.631
251,ZMB7,0.631
704,COD3,0.631
248,ZMB4,0.492
250,ZMB6,0.492
252,ZMB8,0.492
704,COD3,0.492
252,ZMB8,0.483
330,TZA7,0.483
331,TZA8,0.483
345,TZA21,0.483
350,TZA26,0.483
255,ZAF1,0.751
262,ZAF8,0.751
263,ZAF9,0.751
255,ZAF1,0.675
256,ZAF2,0.675
258,ZAF4,0.675
262,ZAF8,0.675
263,ZAF9,0.675
588,LSO6,0.675
590,LSO8,0.675
591,LSO9,0.675
255,ZAF1,0.464
588,LSO6,0.464
590,LSO8,0.464
591,LSO9,0.464
255,ZAF1,0.505
256,ZAF2,0.505
586,LSO4,0.505
587,LSO5,0.505
588,LSO6,0.505
590,LSO8,0.505
591,LSO9,0.505
592,LSO10,0.505
255,ZAF1,0.701
256,ZAF2,0.701
261,ZAF7,0.701
262,ZAF8,0.701
263,ZAF9,0.701
510,NAM1,0.701
512,NAM3,0.701
765,BWA7,0.701
255,ZAF1,0.712
256,ZAF2,0.712
257,ZAF3,0.712
258,ZAF4,0.712
260,ZAF6,0.712
261,ZAF7,0.712
262,ZAF8,0.712
583,LSO1,0.712
584,LSO2,0.712
585,LSO3,0.712
586,LSO4,0.712
587,LSO5,0.712
588,LSO6,0.712
589,LSO7,0.712
255,ZAF1,0.48
258,ZAF4,0.48
588,LSO6,0.48
590,LSO8,0.48
591,LSO9,0.48
592,LSO10,0.48
255,ZAF1,0.71
256,ZAF2,0.71
258,ZAF4,0.71
260,ZAF6,0.71
405,SWZ2,0.71
407,SWZ4,0.71
552,MOZ6,0.71
589,LSO7,0.71
590,LSO8,0.71
592,LSO10,0.71
256,ZAF2,0.495
586,LSO4,0.495
587,LSO5,0.495
588,LSO6,0.495
592,LSO10,0.495
256,ZAF2,0.547
583,LSO1,0.547
586,LSO4,0.547
587,LSO5,0.547
588,LSO6,0.547
592,LSO10,0.547
256,ZAF2,0.54
583,LSO1,0.54
585,LSO3,0.54
587,LSO5,0.54
592,LSO10,0.54
256,ZAF2,0.676
257,ZAF3,0.676
259,ZAF5,0.676
261,ZAF7,0.676
262,ZAF8,0.676
765,BWA7,0.676
766,BWA8,0.676
772,BWA14,0.676
773,BWA15,0.676
256,ZAF2,0.449
258,ZAF4,0.449
584,LSO2,0.449
585,LSO3,0.449
589,LSO7,0.449
592,LSO10,0.449
256,ZAF2,0.514
583,LSO1,0.514
584,LSO2,0.514
585,LSO3,0.514
589,LSO7,0.514
592,LSO10,0.514
256,ZAF2,0.52
584,LSO2,0.52
585,LSO3,0.52
589,LSO7,0.52
256,ZAF2,0.736
257,ZAF3,0.736
259,ZAF5,0.736
260,ZAF6,0.736
261,ZAF7,0.736
256,ZAF2,0.678
257,ZAF3,0.678
258,ZAF4,0.678
259,ZAF5,0.678
260,ZAF6,0.678
404,SWZ1,0.678
405,SWZ2,0.678
406,SWZ3,0.678
407,SWZ4,0.678
549,MOZ2,0.678
552,MOZ6,0.678
258,ZAF4,0.439
583,LSO1,0.439
585,LSO3,0.439
586,LSO4,0.439
587,LSO5,0.439
588,LSO6,0.439
589,LSO7,0.439
590,LSO8,0.439
592,LSO10,0.439
258,ZAF4,0.562
260,ZAF6,0.562
405,SWZ2,0.562
406,SWZ3,0.562
407,SWZ4,0.562
258,ZAF4,0.585
260,ZAF6,0.585
404,SWZ1,0.585
405,SWZ2,0.585
406,SWZ3,0.585
407,SWZ4,0.585
552,MOZ6,0.585
258,ZAF4,0.529
260,ZAF6,0.529
405,SWZ2,0.529
549,MOZ2,0.529
552,MOZ6,0.529
553,MOZ5,0.529
259,ZAF5,0.708
261,ZAF7,0.708
759,BWA1,0.708
762,BWA4,0.708
766,BWA8,0.708
767,BWA9,0.708
772,BWA14,0.708
260,ZAF6,0.598
404,SWZ1,0.598
405,SWZ2,0.598
406,SWZ3,0.598
407,SWZ4,0.598
260,ZAF6,0.629
404,SWZ1,0.629
405,SWZ2,0.629
406,SWZ3,0.629
261,ZAF7,0.661
262,ZAF8,0.661
512,NAM3,0.661
517,NAM8,0.661
763,BWA5,0.661
765,BWA7,0.661
767,BWA9,0.661
773,BWA15,0.661
261,ZAF7,0.77
762,BWA4,0.77
766,BWA8,0.77
767,BWA9,0.77
768,BWA10,0.77
772,BWA14,0.77
773,BWA15,0.77
261,ZAF7,0.677
764,BWA6,0.677
765,BWA7,0.677
767,BWA9,0.677
772,BWA14,0.677
773,BWA15,0.677
262,ZAF8,0.649
510,NAM1,0.649
512,NAM3,0.649
262,ZAF8,0.633
510,NAM1,0.633
511,NAM2,0.633
512,NAM3,0.633
514,NAM5,0.633
517,NAM8,0.633
765,BWA7,0.633
264,UGA1,0.483
266,UGA3,0.483
271,UGA8,0.483
294,UGA31,0.483
304,UGA41,0.483
310,UGA47,0.483
321,UGA58,0.483
410,SSD1,0.483
411,SSD2,0.483
707,COD6,0.483
265,UGA2,0.537
272,UGA9,0.537
274,UGA11,0.537
280,UGA17,0.537
286,UGA23,0.537
287,UGA24,0.537
288,UGA25,0.537
293,UGA30,0.537
295,UGA32,0.537
296,UGA33,0.537
297,UGA34,0.537
299,UGA36,0.537
305,UGA42,0.537
306,UGA43,0.537
307,UGA44,0.537
309,UGA46,0.537
316,UGA53,0.537
320,UGA57,0.537
265,UGA2,0.496
268,UGA5,0.496
269,UGA6,0.496
271,UGA8,0.496
272,UGA9,0.496
276,UGA13,0.496
281,UGA18,0.496
284,UGA21,0.496
287,UGA24,0.496
288,UGA25,0.496
293,UGA30,0.496
294,UGA31,0.496
297,UGA34,0.496
299,UGA36,0.496
302,UGA39,0.496
306,UGA43,0.496
309,UGA46,0.496
316,UGA53,0.496
707,COD6,0.496
720,COD19,0.496
266,UGA3,0.463
304,UGA41,0.463
321,UGA58,0.463
410,SSD1,0.463
411,SSD2,0.463
412,SSD3,0.463
413,SSD4,0.463
419,SSD10,0.463
706,COD5,0.463
707,COD6,0.463
266,UGA3,0.466
268,UGA5,0.466
294,UGA31,0.466
310,UGA47,0.466
410,SSD1,0.466
419,SSD10,0.466
702,COD1,0.466
706,COD5,0.466
707,COD6,0.466
718,COD17,0.466
719,COD18,0.466
720,COD19,0.466
721,COD20,0.466
722,COD21,0.466
726,COD25,0.466
727,COD26,0.466
745,CAF4,0.466
750,CAF9,0.466
267,UGA4,0.582
278,UGA15,0.582
279,UGA16,0.582
293,UGA30,0.582
295,UGA32,0.582
297,UGA34,0.582
298,UGA35,0.582
302,UGA39,0.582
305,UGA42,0.582
306,UGA43,0.582
307,UGA44,0.582
314,UGA51,0.582
316,UGA53,0.582
320,UGA57,0.582
327,TZA6,0.582
268,UGA5,0.502
269,UGA6,0.502
282,UGA19,0.502
284,UGA21,0.502
289,UGA26,0.502
315,UGA52,0.502
460,RWA1,0.502
463,RWA4,0.502
707,COD6,0.502
718,COD17,0.502
720,COD19,0.502
723,COD22,0.502
726,COD25,0.502
269,UGA6,0.515
275,UGA12,0.515
281,UGA18,0.515
282,UGA19,0.515
284,UGA21,0.515
289,UGA26,0.515
293,UGA30,0.515
302,UGA39,0.515
311,UGA48,0.515
314,UGA51,0.515
315,UGA52,0.515
316,UGA53,0.515
327,TZA6,0.515
460,RWA1,0.515
462,RWA3,0.515
720,COD19,0.515
275,UGA12,0.526
311,UGA48,0.526
327,TZA6,0.526
460,RWA1,0.526
461,RWA2,0.526
462,RWA3,0.526
464,RWA5,0.526
797,BDI10,0.526
800,BDI13,0.526
275,UGA12,0.512
289,UGA26,0.512
460,RWA1,0.512
461,RWA2,0.512
462,RWA3,0.512
463,RWA4,0.512
464,RWA5,0.512
720,COD19,0.512
279,UGA16,0.635
295,UGA32,0.635
320,UGA57,0.635
295,UGA32,0.521
302,UGA39,0.521
311,UGA48,0.521
314,UGA51,0.521
325,TZA4,0.521
327,TZA6,0.521
331,TZA8,0.521
462,RWA3,0.521
792,BDI5,0.521
800,BDI13,0.521
322,TZA1,0.548
324,TZA3,0.548
326,TZA5,0.548
336,TZA11,0.548
338,TZA13,0.548
347,TZA23,0.548
348,TZA24,0.548
349,TZA25,0.548
350,TZA26,0.548
322,TZA1,0.508
325,TZA4,0.508
337,TZA12,0.508
342,TZA16,0.508
347,TZA23,0.508
348,TZA24,0.508
349,TZA25,0.508
350,TZA26,0.508
323,TZA2,0.525
335,TZA10,0.525
340,TZA14,0.525
344,TZA20,0.525
351,TZA27,0.525
323,TZA2,0.653
344,TZA20,0.653
324,TZA3,0.546
326,TZA5,0.546
335,TZA10,0.546
336,TZA11,0.546
340,TZA14,0.546
343,TZA17,0.546
344,TZA20,0.546
346,TZA22,0.546
351,TZA27,0.546
324,TZA3,0.497
326,TZA5,0.497
336,TZA11,0.497
340,TZA14,0.497
349,TZA25,0.497
325,TZA4,0.482
330,TZA7,0.482
331,TZA8,0.482
338,TZA13,0.482
347,TZA23,0.482
349,TZA25,0.482
350,TZA26,0.482
325,TZA4,0.52
327,TZA6,0.52
330,TZA7,0.52
331,TZA8,0.52
350,TZA26,0.52
792,BDI5,0.52
798,BDI11,0.52
803,BDI16,0.52
804,BDI17,0.52
325,TZA4,0.523
327,TZA6,0.523
331,TZA8,0.523
342,TZA16,0.523
347,TZA23,0.523
348,TZA24,0.523
350,TZA26,0.523
327,TZA6,0.409
331,TZA8,0.409
791,BDI4,0.409
792,BDI5,0.409
794,BDI7,0.409
795,BDI8,0.409
798,BDI11,0.409
800,BDI13,0.409
803,BDI16,0.409
804,BDI17,0.409
327,TZA6,0.378
461,RWA2,0.378
462,RWA3,0.378
788,BDI1,0.378
792,BDI5,0.378
793,BDI6,0.378
794,BDI7,0.378
795,BDI8,0.378
796,BDI9,0.378
797,BDI10,0.378
799,BDI12,0.378
800,BDI13,0.378
802,BDI15,0.378
328,TZA18,0.603
333,TZA19,0.603
328,TZA18,0.566
333,TZA19,0.566
329,TZA28,0.639
334,TZA29,0.639
339,TZA30,0.639
329,TZA28,0.718
334,TZA29,0.718
339,TZA30,0.718
329,TZA28,0.584
334,TZA29,0.584
339,TZA30,0.584
331,TZA8,0.459
723,COD22,0.459
790,BDI3,0.459
791,BDI4,0.459
794,BDI7,0.459
798,BDI11,0.459
801,BDI14,0.459
803,BDI16,0.459
331,TZA8,0.49
463,RWA4,0.49
718,COD17,0.49
720,COD19,0.49
723,COD22,0.49
725,COD24,0.49
788,BDI1,0.49
790,BDI3,0.49
791,BDI4,0.49
793,BDI6,0.49
798,BDI11,0.49
335,TZA10,0.507
341,TZA15,0.507
346,TZA22,0.507
548,MOZ1,0.507
555,MOZ8,0.507
335,TZA10,0.509
340,TZA14,0.509
341,TZA15,0.509
344,TZA20,0.509
346,TZA22,0.509
341,TZA15,0.383
548,MOZ1,0.383
554,MOZ7,0.383
555,MOZ8,0.383
352,TUN1,0.718
353,TUN2,0.718
354,TUN3,0.718
355,TUN4,0.718
359,TUN8,0.718
364,TUN13,0.718
367,TUN16,0.718
370,TUN19,0.718
371,TUN20,0.718
375,TUN24,0.718
352,TUN1,0.775
353,TUN2,0.775
354,TUN3,0.775
355,TUN4,0.775
364,TUN13,0.775
367,TUN16,0.775
374,TUN23,0.775
375,TUN24,0.775
356,TUN5,0.729
359,TUN8,0.729
363,TUN12,0.729
366,TUN15,0.729
367,TUN16,0.729
368,TUN17,0.729
369,TUN18,0.729
371,TUN20,0.729
375,TUN24,0.729
367,TUN16,0.847
376,TGO1,0.618
378,TGO3,0.618
379,TGO4,0.618
376,TGO1,0.539
377,TGO2,0.539
380,TGO5,0.539
741,CIV14,0.539
787,BFA13,0.539
378,TGO3,0.607
380,TGO5,0.566
778,BFA3,0.566
780,BFA5,0.566
781,BFA6,0.566
380,TGO5,0.435
778,BFA3,0.435
779,BFA4,0.435
781,BFA6,0.435
782,BFA8,0.435
785,BFA11,0.435
381,TCD1,0.334
382,TCD2,0.334
383,TCD3,0.334
384,TCD4,0.334
387,TCD7,0.334
388,TCD8,0.334
396,TCD16,0.334
397,TCD17,0.334
398,TCD18,0.334
399,TCD19,0.334
403,TCD23,0.334
