"GID_1","rel_major","rel_minor","lang_major","lang_minor","middle","poorer","poorest","richer","richest","has_mobile_phone_no","has_mobile_phone_yes","animist","assembly of god","catholic","islamic","jehovah's witnesses","methodist","no religion","other_religion","protestant","universal","rural","urban","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","female","male","rh_anc_pv_female","rh_anc_pvskill_female","rh_anc_numvs_female","rh_anc_4vs_female","rh_anc_moprg_female","nt_bf_ever_male","nt_bf_ever_female","nt_bf_start_1hr_male","nt_bf_start_1hr_female","nt_bf_start_1day_male","nt_bf_start_1day_female","nt_bf_prelac_male","nt_bf_prelac_female","nt_bottle_male","nt_bottle_female","ch_allvac_either_female","ch_allvac_either_male","ch_novac_either_female","ch_novac_either_male","fp_know_any_female","fp_know_any_male","fp_know_mod_female","fp_know_mod_male","fp_know_trad_female","fp_know_trad_male","fp_message_noneof4_female","fp_message_noneof4_male","fp_message_noneof3_female","fp_message_noneof3_male","dv_sex_12m_female","dv_phy_12m_female","rh_prob_permit_female","rh_prob_money_female","rh_prob_dist_female","rh_prob_alone_female","rh_prob_minone_female","we_num_decide_female","we_num_decide_male","we_num_justifydv_female","we_num_justifydv_male","celestes","islam","other christians","other protestants","other religions","other traditional","protestant methodist","vodoun","55-59","60-64","adventiste","jehovah witness","muslim","sect","tradition/animist","rel_na","lang_na","na.x","armée de salut","bundu dia kongo","kimbanguiste","vuvamu","na.y","evangelical","other christian","none","muslin","orthodox","traditional","christianity","christian","na_religion","protestant/ other christian","roman catholic","traditional religion","anglican church","hindu","lesotho evangelical church","pentecostal","roman catholic church","seventh day adventist","fjkm/flm/anglikana","traditional/animist","evangelic","other christian religion","anglican","ccap","seventh day adventist / baptist","evangelical/pentecostal","zion","traditionalist","elcin","protestant/anglican","seventh-day adventist","50+","adventist","animiste","chistiane","baptist","evangelical presbyterian","pentecotist","baha'i","jehovah's witness","jewish","mammon","pentecostal/born again/evangelical","presbyterian","salvation army","apostolic sect"
"AGO1",0.240489130434783,0.759510869565217,1,0,0.259510869565217,0.298913043478261,0.116847826086957,0.183423913043478,0.141304347826087,0.501358695652174,0.498641304347826,0,0.0597826086956522,0.240489130434783,0.00679347826086957,0.0298913043478261,0.264945652173913,0.120923913043478,0,0.259510869565217,0.0176630434782609,0.581521739130435,0.418478260869565,0.285326086956522,0.1875,0.144021739130435,0.142663043478261,0.10054347826087,0.0679347826086956,0.0448369565217391,0.0271739130434783,0.665760869565217,0.334239130434783,2.6043956043956,0.688644688644689,2.26373626373626,0.67032967032967,1.22344322344322,0.885057471264368,0.858695652173913,0.402298850574713,0.33695652173913,0.839080459770115,0.804347826086957,0.0344827586206897,0.0543478260869565,0.147727272727273,0.0625,0.282608695652174,0.162790697674419,0.326086956521739,0.302325581395349,0.875510204081633,0.995934959349594,0.875510204081633,0.995934959349594,0.451020408163265,0.508130081300813,0.857142857142857,0.455284552845528,0.859183673469388,0.455284552845528,0.0384615384615385,0.146853146853147,0.457142857142857,0.589795918367347,0.553061224489796,0.375510204081633,0.614285714285714,2.63917525773196,1.89285714285714,0.216494845360825,0.169642857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO10",0.551409618573798,0.448590381426202,0.887230514096186,0.112769485903814,0.153399668325041,0.126865671641791,0.470149253731343,0.135157545605307,0.114427860696517,0.598673300165838,0.401326699834163,0.000829187396351575,0.0140961857379768,0.551409618573798,0,0.0174129353233831,0.0290215588723051,0.0679933665008292,0,0.308457711442786,0.0107794361525705,0.596185737976783,0.403814262023217,0.260364842454395,0.204809286898839,0.158374792703151,0.102819237147595,0.100331674958541,0.0854063018242123,0.0696517412935323,0.0182421227197347,0.718076285240464,0.281923714759536,2.95446265938069,0.644808743169399,1.85245901639344,0.495446265938069,1.10746812386157,0.969387755102041,0.989071038251366,0.663265306122449,0.633879781420765,0.938775510204082,0.934426229508197,0.0357142857142857,0.0546448087431694,0.19672131147541,0.210526315789474,0.269230769230769,0.241379310344828,0.320512820512821,0.275862068965517,0.847575057736721,0.861764705882353,0.79445727482679,0.861764705882353,0.511547344110854,0.585294117647059,0.800230946882217,0.652941176470588,0.801385681293303,0.658823529411765,0.0564024390243902,0.266768292682927,0.297921478060046,0.688221709006928,0.549653579676674,0.39838337182448,0.766743648960739,2.65625,1.80434782608696,0.960416666666667,0.402173913043478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO11",0.33235938641344,0.66764061358656,0.995982468955442,0.00401753104455807,0.147187728268809,0.00730460189919649,0,0.348064280496713,0.497443389335281,0.223155588020453,0.776844411979547,0.00401753104455807,0.119065010956903,0.33235938641344,0.00511322132943755,0.0818115412710007,0.0493060628195763,0.0956902848794741,0,0.267713659605551,0.0449233016800584,0.0310445580715851,0.968955441928415,0.254930606281958,0.201972242512783,0.171658144631118,0.132578524470416,0.10445580715851,0.0734112490869248,0.0507669831994156,0.0102264426588751,0.70891161431702,0.29108838568298,2.17075773745998,0.656350053361793,2.7684098185699,0.818569903948773,1.44930629669157,0.958015267175573,0.971119133574007,0.557251908396947,0.516245487364621,0.866412213740458,0.888086642599278,0.0954198473282443,0.122743682310469,0.224334600760456,0.196428571428571,0.527131782945736,0.466101694915254,0.0775193798449612,0.0677966101694915,0.977331272539928,0.979924717691342,0.976300875837197,0.979924717691342,0.6543019062339,0.662484316185696,0.507985574446162,0.451693851944793,0.511591962905719,0.464240903387704,0.0513029315960912,0.206026058631922,0.212261720762494,0.639361154044307,0.505924781040701,0.284389489953632,0.698608964451314,2.70408163265306,1.84431137724551,0.171428571428571,0.0838323353293413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO12",0.133843212237094,0.866156787762906,0.789674952198853,0.210325047801147,0.302103250478011,0.344168260038241,0.207456978967495,0.0745697896749522,0.0717017208413002,0.555449330783939,0.444550669216061,0.00286806883365201,0.136711281070746,0.133843212237094,0.00860420650095602,0.0277246653919694,0.0325047801147228,0.130019120458891,0.0181644359464627,0.489483747609943,0.0200764818355641,0.355640535372849,0.644359464627151,0.192160611854684,0.194072657743786,0.173996175908222,0.115678776290631,0.12810707456979,0.0994263862332696,0.0697896749521989,0.0267686424474187,0.713193116634799,0.286806883365201,2.81437125748503,0.648702594810379,1.77445109780439,0.393213572854291,1.29940119760479,0.922222222222222,0.936046511627907,0.283333333333333,0.302325581395349,0.822222222222222,0.819767441860465,0.272222222222222,0.325581395348837,0.263440860215054,0.189944134078212,0.214285714285714,0.152173913043478,0.261904761904762,0.33695652173913,0.726541554959786,0.9,0.718498659517426,0.896666666666667,0.365951742627346,0.51,0.848525469168901,0.683333333333333,0.85254691689008,0.69,0.0930232558139535,0.304114490161002,0.347184986595174,0.680965147453083,0.565683646112601,0.300268096514745,0.735924932975871,2.57142857142857,1.87623762376238,0.86105675146771,0.321782178217822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO13",0.126873126873127,0.873126873126873,0.952047952047952,0.047952047952048,0.353646353646354,0.321678321678322,0.0809190809190809,0.163836163836164,0.0799200799200799,0.531468531468531,0.468531468531469,0.001998001998002,0.251748251748252,0.126873126873127,0.000999000999000999,0.003996003996004,0.025974025974026,0.131868131868132,0.001998001998002,0.444555444555445,0.00999000999000999,0.170829170829171,0.829170829170829,0.246753246753247,0.206793206793207,0.14985014985015,0.124875124875125,0.107892107892108,0.0899100899100899,0.0599400599400599,0.013986013986014,0.735264735264735,0.264735264735265,2.1577909270217,0.893491124260355,2.65680473372781,0.613412228796844,1.77120315581854,0.941520467836257,0.976744186046512,0.210526315789474,0.191860465116279,0.777777777777778,0.837209302325581,0.228070175438596,0.226744186046512,0.128491620111732,0.11864406779661,0.207792207792208,0.227848101265823,0.051948051948052,0.113924050632911,0.71875,0.89811320754717,0.716032608695652,0.89811320754717,0.220108695652174,0.226415094339623,0.745923913043478,0.773584905660377,0.748641304347826,0.773584905660377,0.050761421319797,0.194585448392555,0.077445652173913,0.35054347826087,0.188858695652174,0.0747282608695652,0.398097826086957,2.66455696202532,1.88888888888889,0.483122362869198,0.0833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO14",0.411703239289446,0.588296760710554,0.991640543364681,0.0083594566353187,0.297805642633229,0.286311389759666,0.135841170323929,0.177638453500522,0.102403343782654,0.545454545454545,0.454545454545455,0.00417972831765935,0.038662486938349,0.411703239289446,0.00104493207941484,0.0595611285266458,0.0877742946708464,0.0888192267502612,0.00208986415882968,0.280041797283177,0.026123301985371,0.429467084639498,0.570532915360502,0.227795193312435,0.219435736677116,0.208986415882968,0.108672936259143,0.0919540229885057,0.0804597701149425,0.0543364681295716,0.0083594566353187,0.727272727272727,0.272727272727273,2.5625,0.7375,2.28541666666667,0.502083333333333,1.5125,0.923976608187134,0.948717948717949,0.368421052631579,0.429487179487179,0.824561403508772,0.858974358974359,0.087719298245614,0.0769230769230769,0.0818713450292398,0.0576923076923077,0.363636363636364,0.35,0.168831168831169,0.1125,0.653735632183908,1,0.652298850574713,1,0.221264367816092,0.67816091954023,0.742816091954023,0.704980842911877,0.744252873563218,0.71264367816092,0.143129770992366,0.438931297709924,0.423850574712644,0.673850574712644,0.504310344827586,0.395114942528736,0.767241379310345,2.46595744680851,1.80882352941176,0.840425531914894,0.279411764705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO15",0.181695827725437,0.818304172274563,0.546433378196501,0.453566621803499,0.177658142664872,0.452220726783311,0.197846567967699,0.0942126514131898,0.0780619111709287,0.674293405114401,0.325706594885599,0,0.0376850605652759,0.181695827725437,0.0053835800807537,0.0161507402422611,0.0363391655450875,0.114401076716016,0.0121130551816958,0.585464333781965,0.0107671601615074,0.430686406460296,0.569313593539704,0.224764468371467,0.219380888290713,0.184387617765814,0.133243606998654,0.082099596231494,0.0794078061911171,0.0565275908479139,0.0201884253028264,0.705248990578735,0.294751009421265,3.15294117647059,0.535294117647059,1.52058823529412,0.358823529411765,0.967647058823529,0.900900900900901,0.892561983471074,0.540540540540541,0.570247933884298,0.81981981981982,0.834710743801653,0.153153153153153,0.214876033057851,0.19327731092437,0.258064516129032,0.104477611940299,0.0952380952380952,0.417910447761194,0.492063492063492,0.627862595419847,0.799086757990868,0.587786259541985,0.762557077625571,0.278625954198473,0.657534246575342,0.809160305343511,0.817351598173516,0.812977099236641,0.817351598173516,0.0941828254847645,0.246537396121884,0.341603053435114,0.498091603053435,0.387404580152672,0.307251908396947,0.541984732824427,2.38412698412698,1.43410852713178,0.403174603174603,0.232558139534884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO16",0.491539763113367,0.508460236886633,0.914551607445008,0.0854483925549915,0.22673434856176,0.116751269035533,0.223350253807107,0.212351945854484,0.220812182741117,0.439932318104907,0.560067681895093,0.00423011844331641,0.0169204737732657,0.491539763113367,0.00253807106598985,0.0346869712351946,0.0135363790186125,0.169204737732657,0.000846023688663283,0.244500846023689,0.0219966159052453,0.317258883248731,0.682741116751269,0.210659898477157,0.241962774957699,0.183587140439932,0.142978003384095,0.0829103214890017,0.0769881556683587,0.0465313028764805,0.0143824027072758,0.708967851099831,0.291032148900169,2.60238568588469,0.765407554671968,2.18886679920477,0.652087475149105,1.27833001988072,0.978494623655914,0.954545454545455,0.338709677419355,0.350649350649351,0.78494623655914,0.811688311688312,0.021505376344086,0.025974025974026,0.106951871657754,0.103896103896104,0.236363636363636,0.347826086956522,0.327272727272727,0.315217391304348,0.9236276849642,0.883720930232558,0.898568019093079,0.880813953488372,0.61217183770883,0.642441860465116,0.625298329355609,0.526162790697674,0.626491646778043,0.52906976744186,0.0734557595993322,0.230383973288815,0.164677804295943,0.68854415274463,0.315035799522673,0.221957040572792,0.741050119331742,2.44864864864865,1.8961038961039,0.462162162162162,0.642857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO17",0.226433430515063,0.773566569484937,0.833819241982507,0.166180758017493,0.208940719144801,0.401360544217687,0.275996112730807,0.0845481049562682,0.0291545189504373,0.66958211856171,0.33041788143829,0.0534499514091351,0.0281827016520894,0.226433430515063,0.0116618075801749,0.0204081632653061,0.0408163265306122,0.00971817298347911,0.00097181729834791,0.602526724975705,0.00583090379008746,0.622934888241011,0.377065111758989,0.231292517006803,0.191448007774538,0.138969873663751,0.121477162293489,0.103984450923226,0.114674441205053,0.0806608357628766,0.0174927113702624,0.713313896987366,0.286686103012634,3.05809128630705,0.572614107883817,1.57261410788382,0.377593360995851,1.10995850622407,0.777777777777778,0.855421686746988,0.333333333333333,0.355421686746988,0.625,0.72289156626506,0.1875,0.156626506024096,0.0413793103448276,0.103030303030303,0.119047619047619,0.147058823529412,0.273809523809524,0.279411764705882,0.658038147138965,0.972881355932203,0.645776566757493,0.969491525423729,0.305177111716621,0.796610169491525,0.85149863760218,0.420338983050847,0.85558583106267,0.43728813559322,0.0353356890459364,0.139575971731449,0.622615803814714,0.779291553133515,0.705722070844687,0.600817438692098,0.817438692098093,2.69028340080972,1.98726114649682,0.562753036437247,0.407643312101911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO18",0.375880281690141,0.624119718309859,0.696302816901408,0.303697183098592,0.441901408450704,0.235035211267606,0.0677816901408451,0.167253521126761,0.0880281690140845,0.440140845070423,0.559859154929577,0.00440140845070423,0.0220070422535211,0.375880281690141,0.00880281690140845,0.0184859154929577,0.00440140845070423,0.0264084507042254,0.0096830985915493,0.527288732394366,0.00264084507042254,0.224471830985915,0.775528169014085,0.207746478873239,0.169894366197183,0.182218309859155,0.15669014084507,0.127640845070423,0.0862676056338028,0.0563380281690141,0.0132042253521127,0.694542253521127,0.305457746478873,1.9940119760479,0.922155688622755,2.70658682634731,0.782435129740519,1.77445109780439,0.980392156862745,0.987341772151899,0.529411764705882,0.455696202531646,0.830065359477124,0.79746835443038,0.0849673202614379,0.0379746835443038,0.032051282051282,0.0424242424242424,0.483870967741935,0.333333333333333,0.0967741935483871,0.125,0.878326996197719,0.988472622478386,0.873257287705957,0.988472622478386,0.610899873257288,0.899135446685879,0.727503168567807,0.567723342939481,0.728770595690748,0.570605187319885,0.033167495854063,0.172470978441128,0.110266159695817,0.158428390367554,0.17617237008872,0.102661596958175,0.220532319391635,2.49382716049383,1.97109826589595,0.294238683127572,0.236994219653179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
