,GID_1,Mean_of_Night_Light,Std_of_Night_Light,Mean_distance_to_major_rd,Std_distance_to_major_rd,Mean_built_settlement_growth,Std_built_settlement_growth
0,SEN1,7.176919394832284,0.6217478339907417,1.5734887563807034,0.09199735188850916,239.83283655611314,10.0149699760708
1,SEN2,0.2572638322916566,0.15773580606044962,3.4706202924539555,0.5483506131749324,239.8504945326879,29.2139087776799
2,SEN3,0.0539875195739138,0.02625016559697084,5.249177490030627,1.001454058545189,239.91375477457814,34.01826377409405
3,SEN4,0.15910879702395475,0.1598275834391042,9.458896354168417,2.6376314577805626,239.98681218632717,52.94508608874753
4,SEN5,0.04336895183968145,0.04229706430488238,8.846812151165997,2.176742098550465,239.95728986752576,44.068033211026545
5,SEN6,0.0972385261194513,0.06044791847759033,4.644868437565704,0.7181193362927482,239.92557097192068,30.714514735717753
6,SEN7,0.09790880681290594,0.0917983632045607,7.717269383354964,2.087708151689382,239.95762145257584,48.199853459942595
7,SEN8,0.06071456732628095,0.0019241592771272059,6.7361212141339815,0.21397724491101078,239.9995468642215,6.946746094681399
8,SEN8,0.045402705346149395,0.048395413544809404,13.15706478260704,4.769961387720358,239.91243928828044,63.50164862948689
9,SEN9,0.031461146198097575,0.03143246774799176,24.873513613463203,8.607487269094577,239.94992911352938,67.48165482988794
10,SEN10,0.06030188251364478,0.04160391637889295,6.18966806642225,1.21431260428159,239.96644165571712,35.48261130399991
11,SEN11,0.054690690748463514,0.0666828315097788,18.31707116414785,5.772424894946008,239.917764189309,58.291993363939895
12,SEN12,0.0928513251127728,0.21384644069530884,11.637714388052826,5.407990141031396,239.9534695254648,81.11724169649234
13,SEN13,0.337471800527679,0.19908395364463916,3.228848694948457,0.5893861694937158,239.78041925914255,34.03826108437638
14,SEN14,0.0451371687211151,0.03277648627371573,4.075387122943746,0.8208304702086399,239.91594300754605,34.97458465525039
15,GHA1,0.42288752080114766,0.4020463395620233,2.9321259999728753,1.2979101629351562,239.0304663947573,61.70158204557367
16,GHA2,0.13321627010997897,0.19828660109376056,6.080850218268311,2.9493299809746056,239.53578318549728,76.0083776591335
17,GHA3,0.5022851993135897,0.2458160149831941,1.8846960165643596,0.42331420428325633,239.50969718904403,39.25635076474798
18,GHA4,0.28723490057580403,0.18537548831334721,3.6434826281523427,1.278385102516877,239.60162036785982,53.688270013199045
19,GHA5,4.242348179105117,0.8773437365785911,1.6496400644641547,0.24189454847989494,239.29430342424368,24.463616944038
